subject	query
All	All
B73v4	CML247
B73v4	CML69
B73v4	B73v5
B73v4	CML333
B73v4	Ki3
B73v4	Sbicolor
B73v4	CML277
B73v4	Oh7B
B73v4	CML52
B73v4	Il14H
B73v4	Sitalica
B73v4	P39
B73v4	M37W
B73v4	Oh43
B73v4	HP301
B73v4	Tzi8
B73v4	Osativa
B73v4	Mo18W
B73v4	Ki11
B73v4	M162W
B73v4	Col-0
B73v4	B73v4
B73v4	Ms71
B73v4	Sviridis
B73v4	Ky21
B73v4	NC350
B73v4	CML228
B73v4	CML103
B73v4	NC358
B73v4	CML322
B73v4	Tx303
B73v4	Pvirgatum
B73v4	B97
B73v4	Wm82
Col-0	CML247
Col-0	CML69
Col-0	B73v5
Col-0	CML333
Col-0	Ki3
Col-0	Sbicolor
Col-0	CML277
Col-0	Oh7B
Col-0	CML52
Col-0	Il14H
Col-0	Sitalica
Col-0	P39
Col-0	M37W
Col-0	Oh43
Col-0	HP301
Col-0	Tzi8
Col-0	Osativa
Col-0	Mo18W
Col-0	Ki11
Col-0	M162W
Col-0	Col-0
Col-0	B73v4
Col-0	Ms71
Col-0	Sviridis
Col-0	Ky21
Col-0	NC350
Col-0	CML228
Col-0	CML103
Col-0	NC358
Col-0	CML322
Col-0	Tx303
Col-0	Pvirgatum
Col-0	B97
Col-0	Wm82
