species_name	common_name
Arabidopsis halleri	Ahalleri
Arabidopsis lyrata	Alyrata
Arabidopsis thaliana	Arabidopsis
Brassica oleracea	Boleracea
Brassica rapa	Brapa
Glycine max	Soybean
Hordeum vulgare	Barley
Medicago truncatula	Barrel medic
Oryza sativa	Rice
Oryza sativa Kitaake	Okitaake
Oropetium thomaeum	Resurrection grass
Panicum hallii	Hall's panicgrass
Pharus latifolius	Pharus
Phaseolus vulgaris	Common bean
Sorghum bicolor	Sorghum
Solanum lycopersicum	Tomato
Triticum aestivum	Wheat
Thinopyrum intermedium	Wheatgrass
Vigna unguiculata	Cowpea
Zea mays	Maize
